year,date,maxtemp,day
1922,1922-06-24,85,906
1922,1922-06-25,79,907
1922,1922-06-26,72,908
1922,1922-06-27,69,909
1922,1922-06-28,84,910
1922,1922-06-29,83,911
1922,1922-06-30,85,912
1922,1922-07-01,85,913
1922,1922-07-02,90,914
1922,1922-07-03,83,915
1922,1922-07-04,74,916
1922,1922-07-05,64,917
1922,1922-07-06,80,918
1922,1922-07-07,85,919
1922,1922-07-08,88,920
1922,1922-07-09,74,921
1922,1922-07-10,69,922
1922,1922-07-11,75,923
1922,1922-07-12,88,924
1922,1922-07-13,93,925
1922,1922-07-14,74,926
1922,1922-07-15,74,927
1922,1922-07-16,81,928
1922,1922-07-17,88,929
1922,1922-07-18,92,930
1922,1922-07-19,82,931
1922,1922-07-20,75,932
1922,1922-07-21,76,933
1922,1922-07-22,86,934
1922,1922-07-23,80,935
1922,1922-07-24,71,936
1922,1922-07-25,69,937
1922,1922-07-26,71,938
1922,1922-07-27,78,939
1922,1922-07-28,84,940
1922,1922-07-29,74,941
1922,1922-07-30,82,942
1922,1922-07-31,85,943
1922,1922-08-01,81,944
1922,1922-08-02,71,945
1922,1922-08-03,72,946
1922,1922-08-04,74,947
1922,1922-08-05,80,948
1922,1922-08-06,84,949
1922,1922-08-07,81,950
1922,1922-08-08,73,951
1922,1922-08-09,69,952
1922,1922-08-10,72,953
1922,1922-08-11,67,954
1922,1922-08-12,65,955
1922,1922-08-13,80,956
1922,1922-08-14,90,957
1922,1922-08-15,88,958
1922,1922-08-16,93,959
1922,1922-08-17,77,960
1922,1922-08-18,92,961
1922,1922-08-19,79,962
1922,1922-08-20,72,963
1922,1922-08-21,75,964
1922,1922-08-22,82,965
1922,1922-08-23,83,966
1922,1922-08-24,81,967
1922,1922-08-25,79,968
1922,1922-08-26,74,969
1922,1922-08-27,66,970
1922,1922-08-28,65,971
1922,1922-08-29,79,972
1922,1922-08-30,80,973
1922,1922-08-31,74,974
1922,1922-09-01,74,975
1922,1922-09-02,82,976
1922,1922-09-03,82,977
1922,1922-09-04,72,978
1922,1922-09-05,80,979
1922,1922-09-06,82,980
1922,1922-09-07,65,981
1922,1922-09-08,69,982
1922,1922-09-09,74,983
1922,1922-09-10,82,984
1922,1922-09-11,82,985
1922,1922-09-12,77,986
1922,1922-09-13,77,987
1922,1922-09-14,76,988
1922,1922-09-15,84,989
1922,1922-09-16,73,990
1922,1922-09-17,67,991
1922,1922-09-18,61,992
1922,1922-09-19,62,993
1922,1922-09-20,70,994
1922,1922-09-21,65,995
1922,1922-09-22,66,996
1922,1922-09-23,70,997
1922,1922-09-24,84,998
1922,1922-09-25,65,999
1922,1922-09-26,63,1000
1922,1922-09-27,73,1001
1922,1922-09-28,60,1002
1922,1922-09-29,80,1003
1922,1922-09-30,80,1004
1922,1922-10-01,76,1005
1922,1922-10-02,85,1006
1922,1922-10-03,85,1007
